region,year,variable,crop,data
Arusha,2001,area,maize,153083
Arusha,2001,yield,maize,1.2
Arusha,2001,production,maize,183700
Arusha,2001,area,sorghum,22638
Arusha,2001,yield,sorghum,0.8
Arusha,2001,production,sorghum,14749.279849942734
Arusha,2001,area,millet,8874.214208594147
Arusha,2001,yield,millet,0.8
Arusha,2001,production,millet,7099.371366875318
Arusha,2001,area,rice,13479
Arusha,2001,yield,rice,1.5
Arusha,2001,production,rice,20219
Arusha,2001,area,wheat,35420
Arusha,2001,yield,wheat,1.4
Arusha,2001,production,wheat,49587
Coast,2001,area,maize,68591
Coast,2001,yield,maize,0.6
Coast,2001,production,maize,41154
Coast,2001,area,sorghum,24699.67835803401
Coast,2001,yield,sorghum,0.7
Coast,2001,production,sorghum,17289.774850623806
Coast,2001,area,millet,NA
Coast,2001,yield,millet,NA
Coast,2001,production,millet,NA
Coast,2001,area,rice,14214.818184915073
Coast,2001,yield,rice,1.2
Coast,2001,production,rice,17057.781821898086
Coast,2001,area,wheat,NA
Coast,2001,yield,wheat,NA
Coast,2001,production,wheat,0
Dar es Salaam,2001,area,maize,9338
Dar es Salaam,2001,yield,maize,0.5
Dar es Salaam,2001,production,maize,4619.133466730112
Dar es Salaam,2001,area,sorghum,NA
Dar es Salaam,2001,yield,sorghum,NA
Dar es Salaam,2001,production,sorghum,NA
Dar es Salaam,2001,area,millet,NA
Dar es Salaam,2001,yield,millet,NA
Dar es Salaam,2001,production,millet,NA
Dar es Salaam,2001,area,rice,2587.5385162520224
Dar es Salaam,2001,yield,rice,1.2
Dar es Salaam,2001,production,rice,3105.0462195024265
Dar es Salaam,2001,area,wheat,NA
Dar es Salaam,2001,yield,wheat,NA
Dar es Salaam,2001,production,wheat,0
Dodoma,2001,area,maize,59149.7678995034
Dodoma,2001,yield,maize,1.6
Dodoma,2001,production,maize,94639.62863920545
Dodoma,2001,area,sorghum,97922.2628592828
Dodoma,2001,yield,sorghum,1.5
Dodoma,2001,production,sorghum,146883.3942889242
Dodoma,2001,area,millet,16470.67836522867
Dodoma,2001,yield,millet,1.1
Dodoma,2001,production,millet,18117.746201751535
Dodoma,2001,area,rice,6621.719576482583
Dodoma,2001,yield,rice,0.5
Dodoma,2001,production,rice,3310.8597882412914
Dodoma,2001,area,wheat,NA
Dodoma,2001,yield,wheat,NA
Dodoma,2001,production,wheat,0
